title,company,location,posted,summary,job_salary,job_link
Corporate Treasury 2022 Intern,UNITED PARCEL SERVICE,"Atlanta, GA 30328",Posted28 days ago,"Leverages tools such as Google Cloud and Microsoft SQL Server among others, to perform data analytics and streamline business processes.",Internship,https://www.indeed.com/rc/clk?jk=5b0a77860fc19371&fccid=fcf465e707df52fb&vjs=3
Data Science & Machine Learning Internship - Undergrad/Grad...,ADP,"Alpharetta, GA 30005",Posted8 days ago,You are passionate about learning and applying new techniques within data science that leads to innovation. You will continue learning and discovering new ways…,Internship,https://www.indeed.com/rc/clk?jk=3f37db847fd3e432&fccid=e996c2d6855fe778&vjs=3
Procurement Intern Summer 2022,WestRock,"Atlanta, GA 30328",Posted30+ days ago,"Work as a member of the Procurement team by conducting analyses on spend data, contract histories, and analyzing data for bidding and sourcing initiatives.",Internship,https://www.indeed.com/rc/clk?jk=43bbc114a1903416&fccid=1f4fef55263d4309&vjs=3
"2022 Summer Internship - Commercial Community Bank Industry,...",Truist Financial,"Atlanta, GA 30309 (Midtown area)",Posted2 days ago,Complete special projects or assignments that assist department in its mission and help intern learn about the corporate environment.,Temporary +3,https://www.indeed.com/rc/clk?jk=035da40b416651de&fccid=035229327af06091&vjs=3
Solutions Coop/Intern Summer 2022,MHS,"Atlanta, GA 30342 (Buckhead area)",Posted12 days ago,"Learning Objectives – The intern should learn a solid understanding of resource management, customer relationship management platforms as well as internal data…",Full-time +1,https://www.indeed.com/rc/clk?jk=fe3b2bee7f96cc75&fccid=8a363f9025e672b4&vjs=3
"Equity Research Intern- ATLANTA, GA",Janney Montgomery Scott LLC,"Atlanta, GA 30361 (Midtown area)",Posted30+ days ago,"Research and write reports while responding to requests for data, information and calls from internal and external clients.",Full-time +1,https://www.indeed.com/rc/clk?jk=21c11252b6b95cd9&fccid=5c51c70fdf965f44&vjs=3
"Intern, Risk Insight Analyst, Summer FIS University Program...",FIS Global,"Atlanta, GA 30363 (Buckhead area)",Posted30+ days ago,"Collaborate with team members to collect and analyze data. Use graphs, infographics, and other methods to visualize data. Proficiency in Microsoft Office Suite.",Full-time +1,https://www.indeed.com/rc/clk?jk=43235304ae711276&fccid=74e36d81c894b4b7&vjs=3
"Intern, Data Science - Summer 2022",Inspire Brands,"Atlanta, GA 30328",Posted30+ days ago,Oversee at least one cutting edge data science project from beginning to end. Preferred: Previous analytics and data science work and internship experiences.,Full-time +1,https://www.indeed.com/rc/clk?jk=a096a3932f3ecc00&fccid=1b082641b237d96b&vjs=3
Health and Benefits Intern - Summer 2022- Atlanta,Willis Towers Watson,"Atlanta, GA",Posted30+ days ago,"We provide solutions encompassing creative plan design, vendor evaluation and management, pricing and funding strategies, data analytics, valuation support, and…",Internship,https://www.indeed.com/rc/clk?jk=96e716171bbbd52f&fccid=52f90de7b5346a08&vjs=3
AT&T Labs Internship – Advanced Degrees,AT&T,"Atlanta, GA",Posted26 days ago,"Enrolled in an advanced degree program in Computer Science, Computer Engineering, Electrical/Electronic Engineering, Mathematics, Operations Research, Physics,…",Full-time +1,https://www.indeed.com/rc/clk?jk=1498e9fb540d07e5&fccid=25b5166547bbf543&vjs=3
